Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
831,US,"Allowing Zinfandel to take the 60% lead in this marriage with Cabernet Sauvignon, this is an impressive mingling of the two. Black pepper, clove and leathery cigar fuel a high-powered succulence of black and red fruit accented by a smoky drawl.",Howell Mountain,90,80.0,California,Napa Valley,Napa,Red Blend,Paraduxx
853,France,"Produced from two parcels in Aloxe Corton, this structured wine has red-plum fruitiness that is still masked by a dry tannic coating. It has concentration and good potential. Drink this textured, firm wine from 2018.",Les Brunettes et Planchots,90,80.0,Burgundy,Aloxe-Corton,,Pinot Noir,Château de Santenay
894,US,"This blend of 50% Syrah, 23% Petite Sirah, 17% Mourvèdre and 10% Grenache presents a delicious strawberry cake nose, backed up with dried purple flowers and cigar box backbone. On the palate, elegant purple fruits are laced with leather and pepper, finishing with a cleansing tartness.",Portolan,92,80.0,California,Paso Robles,Central Coast,Red Blend,Sextant
921,US,"Made entirely from Chardonnay grapes grown in one site, the inaugural vintage of this cuvée is delicious. It offers a rich core of almond paste flavor, with inviting peach, apple and pear fruit tones, all while remaining light, bright and highlighted with wet stone and gravel.",Schwarze Vineyard Brut,93,80.0,California,Carneros,Napa-Sonoma,Sparkling Blend,Schramsberg
928,US,"This herb-laced wine comes from a 1,100-feet elevation outpost five miles from the ocean and shows both feral notes and robust fruit. Tart cranberry flavor dominates, complemented by orange peel nuances. Its tannins are in full force, calling for more time in the glass if not in the cellar. Best the second day after opening, if one can wait.",King Ridge Vineyard,93,80.0,California,Fort Ross-Seaview,Sonoma,Pinot Noir,Blue Farm
1153,Italy,"Aromas of menthol, toast, espresso and mature black-skinned fruit come together on this accessible, full-bodied red. The ripe, chewy palate offers cherries marinated in spirits, blackberry jam, vanilla and a confectionary note alongside velvety tannins. You'll also note the warmth of alcohol on the midpalate.",,90,80.0,Tuscany,Brunello di Montalcino,,Sangiovese,San Polo
1194,Italy,"Forest floor, leather, tilled soil, ripe berry and balsam are some of the aromas you'll find in this delicious red. The smooth, dense palate delivers blackberry jam, espresso, licorice and ground pepper flavors, blanketed with soft, silky tannins. Tobacco and graphite notes linger on the finish. Drink through 2020.",,93,80.0,Southern Italy,Irpinia,,Aglianico,Feudi di San Gregorio
1215,Italy,"Aromas of mature black plum, espresso, wild rose and spice emerge on this full-bodied red. The firm palate offers dried black cherry, menthol, mint, white pepper, well-integrated oak and licorice alongside fine-grained tannins.",Serragrilli,90,80.0,Piedmont,Barbaresco,,Nebbiolo,Marchesi di Barolo
1256,US,"Fresh, brambly raspberry and cherry open this wine that's structured in firm tannins and ripe, lingering layers of tobacco and clove. The Cabernet is blended with smaller amounts of Malbec and Petit Verdot. This one is enjoyable now, with a long and clean finish, but it will also cellar well through 2022.",,92,80.0,California,Howell Mountain,Napa,Cabernet Sauvignon,Prim Family
1388,Italy,"This opens with aromas of toasted oak, espresso and a hint of tire rubber. The palate displays sweet black cherry extract layered with milk chocolate, coffee and oak alongside bracing tannins and racy acidity. Drink after 2018.",Rocche dell'Annunziata,88,80.0,Piedmont,Barolo,,Nebbiolo,Andrea Oberto
1522,US,"This blends 52% Chardonnay and 48% Pinot Noir in a seamless, focused package of bright acidity, moderate mousse and tangled peach, tangerine and blood orange flavors. It has impressive complexity and length, with a nutty note that closes out the finish.",DVX Sparkling Rosé,92,80.0,California,Napa Valley,Napa,Sparkling Blend,Mumm Napa
1585,US,"Similar in style and aging potential to the winery's 2009, and blended with amounts of Malbec and Petit Verdot, this Cabernet Sauvignon from mighty Howell Mountain is rich in spicy blackberry and clove, the tannins soft and juicy.",,91,80.0,California,Howell Mountain,Napa,Cabernet Sauvignon,Prim Family
1747,Italy,"Aromas of wild berry, leather, sunbaked earth, star anise and a balsamic note of menthol lift out of the glass. The robust, powerful palate offers fleshy blackberry, wild cherry, cinnamon, nutmeg and tobacco alongside chewy tannins. Despite the juicy fruit, there's a warmth of alcohol on the finish but it doesn't dominate.",,90,80.0,Tuscany,Brunello di Montalcino,,Sangiovese,Le Gode
1886,US,"From 100% estate-grown Cabernet Sauvignon and Merlot grown in the heart of the Stags Leap District, this earthy red offers black tea and coffee aromas and flavors, suggestions of wild sage and black pepper enveloping the nose. Medium to full-bodied, elegant and well-composed, the tannins are soft and structured, the wine able to age, drinking well now through 2020.",,91,80.0,California,Stags Leap District,Napa,Cabernet Sauvignon,Clos du Val
2326,Italy,"This opens with aromas of ripe berry, aromatic herb, pressed rose petal and a balsamic note. The rather lean palate offers sour cherry, crushed strawberry, sage and star anise alongside nervous acidity and tightly wound, astringent tannins that leave a rather raspy finish. Give this a few more years to unclench. Drink after 2019.",Cannubi Muscatel,90,80.0,Piedmont,Barolo,,Nebbiolo,Cascina Bruciata
2456,France,"Barley sugar, butterscotch, demerara sugar and the faintest hint of maple syrup suggest the richness of this SGN right away. The concentrated sweetness is countered with illuminating freshness and holds tons of tangy spice. Wow. This is incredibly concentrated and has an elixir-like bundled energy that seems to be alive. The effect is both mesmerizing and invigorating.",Clos Saint-Théobald Grand Cru Rangen Sélection de Grains Nobles,96,80.0,Alsace,Alsace,,Pinot Gris,Domaine Schoffit
2608,Spain,"Char and wood grain are prominent on a smoky nose with blackberry and black-currant aromas. Intense tannins and layered depth make for a full palate, while this tastes ripe and toasty, with blackberry and chocolate flavors. On the finish, mild herbal complexity mixed with latent oak are stirring. Drink through 2026.",Gran Colegiata Campus,92,80.0,Northern Spain,Toro,,Tinta de Toro,Bodegas Fariña
2748,Italy,"Forest floor, wild berry, new leather and balsam are some of the aromas you'll find in this bright, linear red. On the palate, firm, polished tannins support ripe red cherry, white pepper, andcrushed mint notes with a hint of black tea. It's still young and tightly wound but already boasts stunning elegance. Drink 2020–2032.",,95,80.0,Tuscany,Brunello di Montalcino,,Sangiovese,Il Marroneto
2792,Spain,"Char and wood grain are prominent on a smoky nose with blackberry and black-currant aromas. Intense tannins and layered depth make for a full palate, while this tastes ripe and toasty, with blackberry and chocolate flavors. On the finish, mild herbal complexity mixed with latent oak are stirring. Drink through 2026.",Gran Colegiata Campus,92,80.0,Northern Spain,Toro,,Tinta de Toro,Bodegas Fariña
2909,US,"A blend of five different varieties with Cabernet Sauvignon and Syrah making up 70% of the mix, it brings intriguing notes of cranberry, raspberry jam and fruit leather. The palate is full bodied with rich dried cherry flavors and firm tannins that need time in the cellar to soften.",Marie's View Wallula Vineyards,91,80.0,Washington,Horse Heaven Hills,Columbia Valley,Red Blend,Den Hoed
3025,Italy,"Initially closed, a few swirls of the glass releases subtle scents suggesting Spanish Broom, linden blossom, flint and a whisper of orange zest. While the palate is less expressive than the nose, it still offers yellow apple, citrus and mineral alongside crisp acidity. It's still very immature and needs additional time to age.",Pietramarina Bianco Superiore,89,80.0,Sicily & Sardinia,Etna,,Carricante,Benanti
3117,Spain,"Baked raisiny aromas of spice cake are almost overdone. Like many 2009 RDDs, this is huge, tannic and massive as a whole. A woody flavor profile includes earthy jammy berry fruit, while this is heavy with campfire notes on the finish. This is 80% Tempranillo and 20% Cabernet Sauvignon. Drink through 2023.",Ardal Gran Reserva Selección Especial,91,80.0,Northern Spain,Ribera del Duero,,Tempranillo-Cabernet Sauvignon,Balbas
3120,Italy,"This opens with aromas that recall leafy underbrush, grilled porcini and mature dark-skinned fruit. The taut palate offers dried black cherry, coffee, sage and anise alongside tightly wound tannins that give it a firm finish.",,89,80.0,Tuscany,Brunello di Montalcino,,Sangiovese,Banfi
3151,US,"A blend of five different varieties with Cabernet Sauvignon and Syrah making up 70% of the mix, it brings intriguing notes of cranberry, raspberry jam and fruit leather. The palate is full bodied with rich dried cherry flavors and firm tannins that need time in the cellar to soften.",Marie's View Wallula Vineyards,91,80.0,Washington,Horse Heaven Hills,Columbia Valley,Red Blend,Den Hoed
3214,US,"Bone dry, tart in acidity and seemingly simple, this is the most expensive of Calera's five new Pinot Noirs. It's not showing well now, with tight, mouthwatering cranberry, rosehip tea and tobacco flavors. It feels elegant and silky in the mouth. Give until 2020 in the cellar.",Jensen Vineyard,90,80.0,California,Mt. Harlan,Central Coast,Pinot Noir,Calera
3226,US,"The blackberry, black currant, cassis and licorice flavors on this wine are strong, ripe and complex, and a rich coating of oak brings toast and vanilla notes. But the wine, which is a blend based on Cabernet Franc and Merlot, is so tannic that it's hard to appreciate now. Give it until 2019 to come around.",The Rescue,89,80.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Juslyn Vineyards
3276,Italy,"The nose on this dense wine opens with aromas of roasted coffee bean and toasted sensations. The concentrated palate offers espresso, chocolate, mature plum and vanilla alongside an infusion of brooding tannins.",Pressenda,87,80.0,Piedmont,Barolo,,Nebbiolo,Abbona Marziano
3322,US,"This wine is made from a duet of vineyards otherwise single-bottle designated: Cloud's Nest on Mount Veeder and Haystack from Atlas Peak. Smooth, rounded and rich in blackberry and raspberry, with a touch of currant, it has a woody, lasting taste of tannin.",BRV,89,80.0,California,Napa Valley,Napa,Cabernet Sauvignon,Trinchero
3328,Spain,"Heavy prune and raisin aromas are perfumed and rich, but arguably a bit overripe. Matching the nose, this feels thick, saturated and grapy. Flavors of black plum and blueberry finish chunky, with muscularity but also a rubbery flavor note.",Colección,89,80.0,Northern Spain,Rioja,,Garnacha,Vivanco
3771,US,"The aromas are locked up at present, with notes of barrel spice, clove, herb and brooding dark fruit. The fruit and barrel flavors are concentrated and tightly wound. The oak is predominant at present. Give it some time in the cellar to strut its stuff. Best after 2022.",Andreas Wallula Vineyard,91,80.0,Washington,Horse Heaven Hills,Columbia Valley,Cabernet Sauvignon,Den Hoed
3883,Italy,"Forward and full-bodied, this opens with aromas of mature dark fruit, grilled herb, toast, spirits and a balsamic note. On the warm palate, oak and licorice provide the backdrop to black cherry marinated in spirits alongside firm tannins. The heat of alcohol closes the finish.",Meriame,89,80.0,Piedmont,Barolo,,Nebbiolo,Paolo Manzone
3943,Italy,"At once powerful and graceful, this delivers alluring aromas and flavors of ripe black cherry, raspberry compote, grilled herb, licorice and an intriguing tarry note. Fresh acidity and firm, velvety tannins provide balance and structure, while a hint of pipe tobacco closes the lingering finish. Drink 2020–2032.",,94,80.0,Tuscany,Brunello di Montalcino,,Sangiovese,Lisini
4148,US,"This spent 18 months in French oak and three years in bottle, ahead of an April 2016 release. Light and elegant, it carries a whiff and taste of leather, with earthy, slightly grainy tannins. With air, the strawberry fruit gains some flesh. Decant it and drink now through 2018.",Barrel Select,89,80.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Vidon Vineyard
4273,Italy,"Aromas of scorched earth, chopped mint, menthol, dried herb and mature berry lead the nose. The robust palate offers raisin, licorice, clove and espresso alongside evident alcohol. Aggressive tannins leave an astringent, tongue-drying close.",Riserva,88,80.0,Tuscany,Brunello di Montalcino,,Sangiovese,Tenuta Vitanza
4433,US,"Juslyn's wines are made in a tannic style. The suggestion here is ageabiity. This bottle, which is mainly Cabernet Sauvignon but also contains Merlot, Cabernet Franc and Petit Verdot, is not drinkable now, unless you're immune to astringency. It's future is uncertain, but you might try aging it until 2020.",Perry's Blend,88,80.0,California,Napa,,Bordeaux-style Red Blend,Juslyn Vineyards
4508,US,"From a classic producer who continues to do the variety justice, this Merlot is complex and concentrated. A taste of bright red plum and berry fruit intermingles with toasty oak and supple vanilla. The tannins are soft and a playful hint of herb marks the finish.",Vintner Select,90,80.0,California,Sonoma County,Sonoma,Merlot,Pride Mountain
4606,US,"Like so many wines from this site, this is explosive and powerfully rich, yet a lurking acidity keeps it fresh and in check. Notes of cedar, dried herb and pencil shavings meet integrated oak and firm tannin, as brambly blackberry and blueberry flavors linger with clove-tinged spice on the finish.",Stagecoach Vineyard,91,80.0,California,Napa Valley,Napa,Cabernet Sauvignon,Angelo Cellars
5092,Italy,"Enticing pressed rose, iris, woodland berry, Mediterranean brush and game aromas emerge from this succulent red. The palate is savory, doling out ripe wild cherry, black raspberry, grilled herb, white pepper flavors with a hint of sea salt. Firm but refined tannins and tangy acidity provide polished support. Drink 2020–2028.",,93,80.0,Tuscany,Brunello di Montalcino,,Sangiovese,Lambardi
5246,Italy,"Aromas include ripe plum, blackberry, vanilla, coffee and a hint of toasted oak. On the palate, notes of mocha and chocolate back up candied cherry and black raspberry. Firm tannins support the juicy flavors. Drink through 2021.",Serragrilli,89,80.0,Piedmont,Barbaresco,,Nebbiolo,Marchesi di Barolo
5376,Italy,"Enticing pressed rose, iris, woodland berry, Mediterranean brush and game aromas emerge from this succulent red. The palate is savory, doling out ripe wild cherry, black raspberry, grilled herb, white pepper flavors with a hint of sea salt. Firm but refined tannins and tangy acidity provide polished support. Drink 2020–2028.",,93,80.0,Tuscany,Brunello di Montalcino,,Sangiovese,Lambardi
5491,Italy,"This offers aromas of dill, wet leaves, hay, pickled beets, roasted coffee bean and spearmint. The palate lacks fruit richness, delivering instead espresso and vanilla-sweetened oak. Astringent tannins generate a tongue-drying finish.",Le Coste di Monforte,86,80.0,Piedmont,Barolo,,Nebbiolo,Parusso
5991,US,"This vineyard designate from Yountville is packed with compact tannin and rich oak yet nicely balanced by crisp ranberry, cherry and clove flavors. Light black-pepper notes add seasoning.",Mast Ranch,90,80.0,California,Napa Valley,Napa,Cabernet Sauvignon,Laird
6012,Italy,"Layered fragrances suggest perfumed berry, orange zest, crushed wild flower, baking spice and tobacco. The smooth, full-bodied palate delivers a great depth of flavors that include creamy cherry, juicy raspberry, thyme, mint, cocoa and energizing mineral. It's superbly balanced with fresh acidity and velvety tannins. Drink 2015–2024.",Contrada P,95,80.0,Sicily & Sardinia,Terre Siciliane,,Nerello Mascalese,Passopisciaro
6083,US,"This newly released still wine from sparkling specialist Gloria Ferrer is a successful first effort, blending bright cherry, strawberry and tangy blood orange flavors. With an earthy hint of compost and forest, it celebrates the variety in all its glory, upholding its acidity beneath a weight of richness.",Estate Grown Reserve,92,80.0,California,Carneros,Napa-Sonoma,Pinot Noir,WindVane
6362,Italy,"Made entirely from Sangiovese, this elegant red boasts classic varietal aromas such as violet, red berry and new leather. On the bright, sleek palate, cinnamon and Mediterranean herb accent a juicy core of Morello cherry and crushed raspberry fruit. It's nicely balanced, with polished tannins and fresh acidity. Drink through 2025.",Levigne Riserva,92,80.0,Tuscany,Chianti Classico,,Sangiovese,Istine
6610,US,"From 100% estate-grown fruit, this 100% varietal wine is dusty and dark with elements of pencil shavings, cedar and cassis. With that herbal and earthy intensity giving it defined character, it remains medium bodied and textured on the palate, with a saltiness to the finish.",Wulff Vineyards,88,80.0,California,Atlas Peak,Napa,Cabernet Sauvignon,Lobo
6726,US,"The fruit for this 100% varietal wine is sourced from Calistoga and Rutherford—a blend that yields a densely tannic, meaty palate that combines soy, cedar and pepper notes. Having already matured in bottle for some time, it's still slowly unfurling, offering jammy blackberry and licorice flavors that add spice to the finish.",,92,80.0,California,Napa Valley,Napa,Cabernet Sauvignon,Three Fat Guys
7004,Italy,"Earthy aromas of truffle, leather, dried herb and dark berry slowly take shape in this full-bodied red. Smooth and concentrated, the palate doles out fleshy wild cherry, raspberry compote, and savory orange zest and star anise notes, framed by fine-grained tannins. Drink 2019–2025.",Vigna del Fiore,92,80.0,Tuscany,Brunello di Montalcino,,Sangiovese,Fattoria dei Barbi
7295,France,"Intensely perfumed, this rich wine has also kept a fresher side. It's very fruity at this stage, with mango and lychee as well as pear and quince. That youthful character will deepen and mature into something more complex, bringing out the rich texture. Drink from 2018.",Clos Windsbuhl Hunawihr,93,80.0,Alsace,Alsace,,Gewürztraminer,Domaine Zind-Humbrecht
7306,Spain,"Purple in color and minerally and deep on the nose, this modern-style Rioja deals aromas of wood smoke, blackberry, cassis and more. The palate is big and bulky, but balance is no issue. Toasty blackberry, chocolate and coffee flavors hold onto a toasty, blackened character on a flush, dynamic finish. Drink now through 2022.",Viña Pomal Alto de la Caseta,93,80.0,Northern Spain,Rioja,,Tempranillo,Bodegas Bilbainas
7347,Italy,"Wild berry, new leather and thyme are some of the aromas you'll discover in this savory Brunello. The palate doles out juicy black cherry, ripe raspberry, white pepper and tobacco notes, while firm, polished tannins offer support. Drink 2018–2025.",,92,80.0,Tuscany,Brunello di Montalcino,,Sangiovese,Casanuova delle Cerbaie
7924,France,"Clos Windsbuhl in Hunawihr is the northernmost of Zind-Humbrecht's collection of vineyards. In 2012, it has produced an impressive wine that has all the right spice of Pinot Gris along with acidity and a fresh edge. That gives this rich wine a great lift, with a waft of pear to go with the yellow-fruit flavors. Drink from 2016.",Clos Windsbuhl Hunawihr,92,80.0,Alsace,Alsace,,Pinot Gris,Domaine Zind-Humbrecht
7933,Portugal,"It's old-gold color says it all. This luscious, liquorous wine has a tangy edge to go alongside the acidity, the raisin fruits and flavors of long wood aging. It's not so much fresh as still very alive and poised. Drink now.",40 Years Old Tawny,92,80.0,Port,,,Port,Quinta do Vallado
8355,Italy,"Made from vines planted in 1948, this brawny wine opens with aromas of toasted oak, espresso, black plum, violet and a whiff of leather. The palate offers coffee, chocolate, sage, toast and a hint of black cherry alongside drying wood tannins.",Millenovecento 48 Riserva,88,80.0,Piedmont,Barolo,,Nebbiolo,Josetta Saffirio
8637,Italy,"Made mostly with Cannonau and small amounts of other Sardinian grapes Bovale, Carignano and Malvasia Nera, this structured red conveys aromas of black-skinned fruit, exotic spice, oak and Mediterranean brush. The full-bodied but elegant palate offers dried blackberry, vanilla, roasted coffee bean and savory herb alongside velvety tannins.",Turriga,92,80.0,Sicily & Sardinia,Isola dei Nuraghi,,Red Blend,Argiolas
8847,France,"From the famous Chablis Grand Cru, this wine lives up to the vineyard's reputation. Steely in character, packed with a firm structure and tightly textured, it shows a citrus side that will be refreshing and attractive as the wine ages. But it does need time, so wait to enjoy until 2017.",Les Clos Grand Cru,93,80.0,Burgundy,Chablis,,Chardonnay,Simonnet-Febvre
9297,US,"Made from 79% Cabernet Sauvignon, 13% Merlot and 8% Cabernet Franc, this wine shows a rich, full-bodied and juicy core of soft, baked plum, cherry and vanilla flavors, with a lingering streak of cinnamon. Not a vineyard designate, this is rather a selection of complementary wine lots and barrels.",Lone Acre,91,80.0,California,Napa Valley,Napa,Cabernet Sauvignon,Kuleto Estate
9409,Italy,"This structured yet polished wine, made from a blend of 50% Cabernet Sauvignon, 30% Aglianico and 20% Merlot, opens with intense aromas of tilled earth, mature black fruit, leather, graphite and spice. The Juicy palate offers fleshy blackberry, black currant, black pepper and mineral alongside silky smooth tannins. Hold for more complexity. Drink 2015–2025.",Montevetrano,92,80.0,Southern Italy,Colli di Salerno,,Red Blend,Montevetrano
9691,France,"A blend of wines from different Premier Cru vineyards, this is firm, as befits a Pommard, but has such great ripe fruit that it feels almost opulent. Lovely rich raspberry fruits are touched wit red currants and supported by solid tannins  at the end. Drink from 2017.",Premier Cru,92,80.0,Burgundy,Pommard,,Pinot Noir,Bouchard Père & Fils
9943,US,"A limited-production wine made to commemorate the Supreme Court ruling on marriage equality, this full-bodied vineyard-designated wine is softly layered in bold, rich huckleberry pie and strawberry flavors. Juicy on the palate, the fruit is seasoned with clove, cola and a hint of earth.",Giusti Ranch Estate,90,80.0,California,Russian River Valley,Sonoma,Pinot Noir,The Decision
10069,Spain,"Aromas of raw oak, eucalyptus and gritty berry fruits are hot and leafy. This Tempranillo-based blend feels choppy with aggressive grating tannins. Flavors of baked roasted berry fruits are also herbal, green and leafy, while this finishes crisp, raw and tomatoey in flavor.",Reserva Privada,85,80.0,Northern Spain,Rioja,,Tempranillo Blend,Marqués de Vargas
10104,US,"The aromas show notes of herb, jalapeño pepper, dark fruit, and barrel spice, with the alcohol poking through a touch. The flavors are medium bodied, brightened by tart acidity. Grainy tannins back it all up.",Marie's View Wallula Vineyard,88,80.0,Washington,Horse Heaven Hills,Columbia Valley,Cabernet Sauvignon,Den Hoed
10347,France,"Herbal accents of thyme and rhubarb and a dash of pomegranate molasses give this dark-fruited wine an exotic edge, although it finishes with hints of creosote and espresso. It's full-bodied and supple in texture, making for a wine that should drink well through 2025.",Les Baptaurels,91,80.0,Rhône Valley,Châteauneuf-du-Pape,,Rhône-style Red Blend,Domaine la Mereuille
10589,US,"Dusty leather, cedar and pencil shaving notes integrate seamlessly with the moderate oak and firm tannins of this wine from a vineyard originally planted by Robert Pepi. Its medium-bodied power makes it friendly for the table or as a before-dinner glass, the finish marked by a pronounced bittersweet chocolate flavor.",Diamond Terraces Vineyard,90,80.0,California,Diamond Mountain District,Napa,Cabernet Sauvignon,Von Strasser
10779,US,"This wine blends multiple clones of Pinot Noir from two of the winery's vineyards, Camp Meeting Ridge and Sea View Ridge. Both sites are high elevation, located only a few miles from the Pacific Ocean and extremely low in yields. Flowers negotiated a difficult vintage deftly with this low-alcohol wine of unusual delicacy and charm. It's complex and layered with cherry, raspberry, cola, wild thyme, balsam and sandalwood flavors. It's texture is like pure silk in the mouth. Drink now–2017.",Moon Select,95,80.0,California,Sonoma Coast,Sonoma,Pinot Noir,Flowers
10807,US,"Napa Cabernets of this explosive power have the challenge of maintaining balance under the assault of all that fruit. This wine, fortunately, succeeds. It does offer an explosion of blackberries, currants, cassis and mocha, but is grounded by a savory olive notes and minerality. Meanwhile, the tannin-acid balance is near perfect. It will be hard to keep your hands off it until 2020, but try.",,94,80.0,California,Napa Valley,Napa,Cabernet Sauvignon,Guarachi Family
10867,Portugal,"This is a field blend from the steep Quinta da Foz vineyard at the mouth of the Pinhão River. Aged from two years in new wood, this impressive, structured wine is just setting out on its aging process. Big tannins and big fruit are all there, packed into dense tannins and a mineral texture. It will age well, don't drink before 2019.",Grande Reserva,95,80.0,Douro,,,Portuguese Red,Quinta da Foz
11052,US,"Even though the alcohol is a high 15.3% abv, this Cabernet tastes like it still has some residual sweetness. It's as rich and ripe in blackberries, but awkward, and doesn't seem capable of aging.",Estate,85,80.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,L'Aventure
11092,France,"This is a very spicy wine with weight, great depth of flavor and concentration. Fine acidity cuts through the core, balancing sweetness and adding freshness to flavors of wild thyme-honey and orange marmalade. Drink the wine from 2017.",,94,80.0,Bordeaux,Barsac,,Bordeaux-style White Blend,Château Coutet
11234,US,"Raspberry and cranberry flavors and a twist of cinnamon stick accent the firm tannins of this estate wine, marked by classic red currant, cedar and dried herb notes. Medium-bodied and modest in oak, it shows a clarity of crisp acidity.",Estate Vineyard,90,80.0,California,Diamond Mountain District,Napa,Cabernet Sauvignon,Von Strasser
11799,Portugal,"While the year is not one of the great Port vintages, it has produced some finely structured wines like this that will mature relatively quickly. It comes with great fruit that was teased out of the grapes in traditional open stone lagars. It is, of course, dense and full of tannins as well as fruit. It will develop well and could be drinkable soon (say by 2018) for its fruit although it will then age for many years until 2030 and beyond.",Vintage,93,80.0,Port,,,Port,Quinta do Vale Meão
11825,US,"This is a rich, plush wine that's soft and simple at its core, heady in licorice aromas. On the palate, expect an exuberance of leather, coconut and dark chocolate flavors.",Stagecoach Vineyard,90,80.0,California,Napa Valley,Napa,Syrah,Patland
11856,US,"A high-acid, weighty and complex white, this vintage is even better than the last, gorgeous in a golden tannish color. Tropical guava and white flowers weave seamlessly through a web of minerality and freshness, without compromising body and texture. This is a delicious wine.",Wayfarer Vineyard,95,80.0,California,Fort Ross-Seaview,Sonoma,Chardonnay,Wayfarer
11859,France,"Ethereal notes of orange blossom and jasmine lead to richer tones of damask rose underpinned by a lively orange-peel freshness. The palate presents the same delicious juxtaposition of opulence and light-footed ease. Full of life and fragrant, vigorous joy, the wine has flavors that seem to linger forever.",Clos Windsbuhl,95,80.0,Alsace,Alsace,,Gewürztraminer,Domaine Zind-Humbrecht
11863,France,"The full force of aromatic, dried pear rises from the glass, laced with dried apricot and candied peel. The pear fruit becomes exquisitely clear and pure on the palate, which is profound but slender. The wine is dry but powerful, holding at its core all the ripeness and fruit flavor from brilliant sunlight. It almost warms you from inside and goes on and on. Drink now till 2030.",Clos Windsbuhl,94,80.0,Alsace,Alsace,,Pinot Gris,Domaine Zind-Humbrecht
11864,France,"Tender notes of citrus appear at first through a veil of yeast. Their zestiness then fills out with subtle, earthy spice. On the light, dry palate, the true subtlety hits: wafts of lemon, aromatic wild thyme, Seville orange zest, fresh apple peel and wet stone. The delicacy of the concentrated body is astonishing, with a central vein of lemony freshness that provides a focal point. So subtle, so layered and alive: with every new sip new nuances occur.",Clos Windsbuhl,94,80.0,Alsace,Alsace,,Riesling,Domaine Zind-Humbrecht
