description,country,variety
Composed and structured with its fair share of richness manifested as raisin and molasses. Interestingly the palate rings with acidity resulting in a feel that's borderline sharp. But there's enough fruit and heft to balance things out and the flavors of cherry blackberry and cola are nice. A good example of elevated Carmenère (with 10% Cabernet Sauvignon) that doesn't cost an arm and a leg.,Chile,Carmenère
Bisquertt usually does well with its value-priced Merlots and seeing that 2007 was an excellent vintage in Chile this wine excels in the value price range. The nose is dark and saturated but pure and inviting. And the palate is ripe and smooth with spice plum blackberry and herb notes particularly anise. Finishes clean smooth and peppery. Drink now.,Chile,Merlot
Clean and honest up front with moderate richness and modest telltale Casablanca pineapple aromas. The plate is creamier than many wines in this price range with flavors of apple cider citrus and some pith. Overall this is a good value wine with enough citrus and acidity to qualify it as fresh.,Chile,Chardonnay
Rooty and leafy on the nose with red berry aromas peeking through some obvious oak. The palate offers cherry and raspberry flavors along with sweetness and things are backed by vanilla and chocolate. Good tasty and oaky with proper layering.,Chile,Cabernet Sauvignon
Foresty and dark on the bouquet with aromas of licorice prune forest and foxiness. The palate is full and tannic while flavors run sweet creamy and slightly syrupy with chocolate and spiced fig notes. Finishes rich and rough with dry herbs and true Chilean Cab flavors of olive and oregano.,Chile,Cabernet Sauvignon
Fiery and wild at first with aromas of cinnamon pepper and Juicy Fruit gum. Strange as that may sound the wine finds a more familiar place on the palate where plum cherry and cassis flavors are flashy and the feel is a bit clangy. Rounds out with air and settles down fairly nicely.,Chile,Merlot
Mildly minty and woody on the nose with grass wintergreen and cheese aromas as well as red fruit. The palate is tight and grabby with a blast of citric acid that gives the plum and raspberry flavors a tart decidedly “red” personality. Snappy and crisp on the finish making it a fresh lean style of Cabernet.,Chile,Cabernet Sauvignon
Opening aromas of vanilla cookie show a resemblance to Animal Crackers while the palate is more vivacious and tangy with flavors of orange tangerine and apple. We wouldn't call this an elegant or refined wine but we like its no-issues attitude and citrusy content. Probably good with salads and seafood.,Chile,Chardonnay
Frosted aromas of orange creamsicle lychee and melon give this an elevated unique sort of bouquet. Among Chilean Gewürztraminers this is one of the more expressive ones you'll find. Pineapple mango and other tropical flavors are pleasant while the feel is forward and fun. Drink this summer with fish and salads.,Chile,Gewürztraminer
Gritty heavily roasted aromas of peanuts and herbal berry fruits lead to a scratchy tannic palate. This tastes of burnt oak raw plum and currant while the finish tastes briny and harsh. The 2012 version of this wine was much better. This is rough from front to back.,Chile,Pinot Noir
Jumpy on the nose at first but then green tea and grassy aromas take over. This PN is what it is: it tastes grassy leafy and like green beans. Vegetal notes carry over to the finish.,Chile,Pinot Noir
Aromas of pumpkin squash and corn chips are stale and not inviting. There's an acceptable mouthfeel to this weird unbalanced Chardonnay along with flavors of spiced squash mealy apple and sautéed root vegetables.,Chile,Chardonnay
Aromas of mint berry syrup and dense lemony oak lay a good foundation for the heavy black fruit that comes on the palate atop a plush carpet of toasty fresh-grained wood. The finish is round tasty and mouthfilling while overall the wine seems to dance due to popping acidity. This is Carmenère with a vital streak.,Chile,Carmenère
At first this is aggressive with an aromatic note of wet dog along with blueberries. But soon it finds its legs and opens to display chocolate espresso and a big batch of black plum and blackberry. The finish has full tannins and some coffee-like flavor. Currently it's wall-to-wall big but it should settle down in no time and become a good red to drink on any occasion.,Chile,Merlot
With its herbal traditional aromas this New World Cabernet could impersonate and Old World model. The palate is tight and firm with lively tannins and bracing acids. The flavors run toward plum and chocolate and there's a bitter hint on the back palate. The finish is plummy and dark.,Chile,Cabernet Sauvignon
Right off the bat this wine is pure and smooth. The nose is pretty with cranberry and cassis. Next up is a palate of pure red fruit and only a light shading of oak. The finish draws applause for its clarity and buttery nuances. It's what a good Chilean Cabernet should be; it's ripe and easy to drink yet fairly solid and impressive. Best Buy.,Chile,Cabernet Sauvignon
With full oak and pineapple aromas along with a big mouthful of spicy apple and pear fruit this is no weakling. On the contrary it's full and meaty with a lot of texture and extract. The feel is healthy even if the acidity is on the low side. A very good wine to drink now; it probably won't age that well.,Chile,Chardonnay
Strongly oaked but fresh young and healthy in the nose. The smell of coconut and lemon curd is friendly and soft while the palate is loaded with more lemon coconut pear and nutmeg. The texture is rich and for now the acidity is bright. A solid Chardonnay for current drinking.,Chile,Chardonnay
Smooth smelling with pure and fresh berry and plum aromas. Very young and a bit tangy on the palate with cherry and berry flavors and an oaky soft finish that goes sweet then sour and lasts for a long time. In terms of structure it's balanced mildly tannic yet meant for drinking now.,Chile,Merlot
Fresh aromas of red cherry and light berry fruit precede a palate that runs a little racy with borderline tart plum and pie cherry flavors. A solid mouthfeel and mild chalky tannins give it presence and for sure it's a clean sturdy wine. But that's really as far as it goes.,Chile,Pinot Noir
On the plump but balanced side with a perfumed nose that's almost sweet for SB. In the mouth it's fairly lively and lifted with nectarine and melon flavors that morph into pink grapefruit on the finish. Decent quality; will get the job done.,Chile,Sauvignon Blanc
Formerly doing business as “Shiraz” this Syrah from Bisquertt offers a huge purple tint roasted aromas of blackberry and campfire and a ripe grapey palate that brims with simple racy black cherry pepper and other driving flavors. Not timid by any means but also nothing out of the ordinary.,Chile,Syrah
Aromas of baked apple nut oil and toast are mildly appealing while the round dry palate is home to flavors of melon and bitter pith. The finish of peach pit and citrus peel is par for the course and overall it's time to get at this standard Chardonnay before it goes flaccid.,Chile,Chardonnay
Baked blueberry and boysenberry aromas are more ripe than delicate. This Merlot is saturated and deeply tannic. Flavors of coffee chocolate and lemon peel precede a toasty finish that overflows with chocolaty oak and lingering tannins. Drink through 2023.,Chile,Merlot
Jammy berry aromas seem reduced at first with notes of iodine and rubber. But with airing this packed Syrah comes around. A flush saturated tannic palate is home to toasty blackened berry coffee and spice flavors. On the finish burnt toast and espresso flavors don't slip. Drink through 2022.,Chile,Syrah
A little hard at first with match stick aromas. After that blows off there's green fruit notes carrying the nose. Full in the mouth with acidic cut and spunky flavors of nectarine and orange. Finishes round with citrus and passion fruit.,Chile,Sauvignon Blanc
Cola root beer and other earthy aromas open up this full-bodied blend of 70% Cabernet and 30% Carmenère. The palate shows pointed prickly acidity and flavors of black cherry and cassis. Offers a rich flavor profile but the acidity creates bite and sharpness.,Chile,Cabernet Sauvignon-Carmenère
Earthy lightly stewed aromas of plum and berry set up a lively but pinched and narrow palate with candied flavors of mixed red berry fruits. Additional red-fruit friendliness rolls onto the finish of this pleasant but basic Merlot.,Chile,Merlot
Leathery briny plum aromas are full and herbal. This feels solid and medium in size and body. Flavors of earthy roasted berry and plum finish lightly green and herbal with a touch of sweetness.,Chile,Merlot
Briary spicy mildly herbal berry aromas give way to a full bold wiry feeling palate with pointed acidity. Herbal lightly green flavors of tobacco and plum finish crisp.,Chile,Cabernet Sauvignon
Composed berry spice herb and oak aromas are complete and inviting. In the mouth this is ripe and dense with chewy tannins. Blackberry mixed herb and dark chocolate flavors are integrated while this settles nicely on the finish.,Chile,Carmenère
Light and tropical with buttercup aromas and a touch of citrus. The palate is plump and slightly oily but with good acidity. Apple mango and banana flavors are fruity and sweet but overall the wine holds it together. Drink right away.,Chile,Chardonnay
Good introductory Carmenère. It's a touch green which is common for this quality level but there's also some coconut and mild burnt aromas to wade through. Lively and clanky on the palate with red fruit bramble and herbal snap. Good if you're not expecting too much.,Chile,Carmenère
Denser and less herbal than the 2005 Gran Reserva with fresh cassis and plum fruit to go with some chocolaty overtones. This has plenty of intensity and structure.,Chile,Cabernet Sauvignon
A little tart and pickled off the bat with notes of rhubarb and red cherry along with a stronger more evident blast of oak. The palate is fresh but sort of lean and wanting with regular raspberry and plum flavors. Snappy but slightly sappy and resiny for what's on offer.,Chile,Red Blend
Earthy red-fruit aromas come with hints of olive herbs and spice. The mouthfeel on this blend of Cabernet Sauvignon Cab Franc and Carmenère is racy and layered. Flavors of herbal berry and spice finish long. Drink through 2018.,Chile,Red Blend
Despite showing gritty scratchy aromas of baked earthy black fruits this Carignan-led blend is rock solid and ready. Tight punchy focused acidity sets up a rustic palate with a mix of baked-fruit flavors spice and char. A toasty dark long finish is staunch and sturdy. Drink through 2016.,Chile,Red Blend
Prickly aromas of juniper and cherry are sharp and lean towards green. This Malbec feels tight and lean while plum and herbal aromas qualify as basic. A light racy finish pinches and tastes generic.,Chile,Malbec
Prickly aromas of nettle are simple as well as diluted. This feels basic and fresh while green citrusy flavors end with pithy notes and an oily feel.,Chile,Sauvignon Blanc
Aromas of corn and melon are waxy and oily. This feels pinched and juicy but not crisp or minerally. Stalky flavors of corn citrus and apple lean towards bitter as does the finish.,Chile,Chardonnay
Blocky stewy raisiny aromas of nonspecific black fruits are jumbled and green. This feels awkward and jammy with little to no structural integrity. Flavors of prune raisin and oak finish soft and loamy.,Chile,Carmenère
Lavender and licorice on the nose; the palate mixes shy black cherry and cassis flavors with a bit of Chile's patented leafy character. The finish is round and offers a touch of vanilla and mocha. For the money this is solid and very easy to drink.,Chile,Cabernet Sauvignon
A good but awkward attempt at a bigger more saturated more serious wine. The nose tells you that it's ripe but there's some reduction in there too. The palate is revved up and tannic with turbulence along the way. Spice chocolate and heat all play a part on the berry-driven palate.,Chile,Cabernet Sauvignon-Carmenère
There's no shortage of heavily charred oak and early on it may seem a bit mulchy and leathery. But as it knits together and the fruit rises you'll see that there's a compact serious wine laying in wait. Flavors of blackberry licorice and herbs are authentic and powerful. Clacky tannins make food almost mandatory.,Chile,Cabernet Sauvignon
A solid wine with a good mix of herbal cola and red-fruit aromas. It deals spanking red fruit flavors and a sprinkle of vanilla and chocolate on the racy finish. For a short fresh and clean wine Aresti's Cab makes the grade.,Chile,Cabernet Sauvignon
Big bold wild and dark with mild burnt aromas backed by broad blackberry and plum flavors. This represents the fruity thick style of Syrah with additional notes of black olive and savory meat pie. It's not flawless but its pounding fruit character will earn its share of fans.,Chile,Syrah
Pungent and sharp and that's exactly the style that Los Vascos has mastered in recent years. This wine tastes very much like a coastal Casablanca Chardonnay yet it hails from Colchagua. The nose is pithy and citric and the palate is more of the same. Good mouthfeel and fresh but green citrusy and too much like Sauvignon Blanc.,Chile,Chardonnay
The oak on this wine gives it a strong resin and cinnamon character. Along the way there's floral berry aromas cherry and plum flavors and finishing notes of root beer chocolate and cough drops. A bit woody and tannic but it gets the job done.,Chile,Cabernet Sauvignon
Gê is one of Chile's perennial best blends. It mixes Syrah Carmenère and Cabernet Sauvignon into a lovable complex whole. The nose is spicy yet suave with cool berry herb and olive aromas. It feels fresh full and clean with olive pepper cherry cassis coffee and chocolate flavors on the palate and finish. Only 452 cases made; drink now–2017.,Chile,Red Blend
The nose is an attractive mix of cassis and mineral notes. The palate is more racy and wiry than dense and soft with juicy flashy flavors of berry cherry and currant. Those notes all carry through to the long finish; drink from 2013–2018.,Chile,Cabernet Sauvignon
Aromas of lead pencil cassis violet petal and smoky chocolate are complex and attractive. The palate of this Cabernet Sauvignon-led blend is tight pure and rich and the flavors of toasty black fruits carry accents of licorice and coffee. The finish is spicy with a licorice note and the wine's tannic composition suggests that aging is appropriate. Drink from 2014–2020.,Chile,Red Blend
There's a lot to like about this dense deep lush and totally ripe blend of 60% Petit Verdot plus smaller doses of Cabernet Carmenère Malbec and Mourvèdre. It glistens in the glass and shows plush aromatics and generous flavors of berry plum chocolate and spice. Toasty and smooth on the finish. Drink this excellent blend now–2018.,Chile,Red Blend
Melon wood spice and vanilla aromas are common for this level of Chilean Chardonnay. A plump palate is low on acidity while this tastes of pear oak and skins-based bitterness. A woody tasting finish is adequate.,Chile,Chardonnay
Wiry currant and plum aromas show a touch of oak in this value-priced wine. It feels somewhat chunky on the palate with scraping tannins. Herbal plum flavors finish gamy and with a mild note of oaky clove.,Chile,Carmenère
Briny saltwater aromas dominate a mild mostly fruitless nose. This feels basic and round with a lemony streak. Mild nectarine flavors don't amount to much while this is simple and generic on the finish.,Chile,Sauvignon Blanc
Flat boysenberry and plum aromas are jammy and a bit floral. This feels clipped and rugged with reedy plum and raspberry flavors that finish short.,Chile,Syrah
Herbal berry aromas include a heavy dose of spent coffee grinds and oak. This has an edgy hard mouthfeel and oaky flavors of plastic and vanilla that sit on top of herbal berry notes. A creamy finish maintains the wine's oaky theme.,Chile,Carmenère
Crusty aromas of black fruits mesh nicely with lemon peel and floral scents. The acidity here is noticeably high which creates a scouring mouthfeel. Short flavors of berry and cassis are shrill while the body and cushion offered by this blend of Syrah Cabernet Sauvignon and Viognier are modest at best.,Chile,Red Blend
Rubbery red-berry aromas blend with spicy field scents to create a true Pinot nose that's a bit strained. This is intense chunky and slightly herbal with red-fruit flavors spice notes and some heat and oak on the finish.,Chile,Pinot Noir
Hay straw match stick and minerally aromas outweigh this wine's fruit scents by a measurable margin. This is chunky and a bit soft in the mouth a reflection of 2012's heat. And while it's round as a ball it's slightly vegetal and bitter tasting on the palate with grapefruit and bell pepper flavors.,Chile,Sauvignon Blanc
This opens with a good mix of tobacco black cherry cola and mocha aromas. In the mouth this offers good body size and balance along with lightly herbal leafy flavors of mossy black fruits. A mellow finish with a solid structure is a welcome ending.,Chile,Merlot
Tea tomato raspberry and spice aromas are typical for Leyda Pinot. The body is a bit light and hollow but that also means it's not heavy. Raspberry and spiced tea flavors control the palate while plum spice and light herb flavors work the almost dilute finish.,Chile,Pinot Noir
This blend of Cabernet Franc and Petit Verdot opens with fiery oaky aromas that include cherry cassis and vanilla. The palate has a severe tartaric shear to it along with clampy tannins. High-toned flavors of raspberry and plum are propped up by blazing acidity while the finish is herbal and peppery in taste with a scouring feel.,Chile,Red Blend
A green minty wave of challenging aromas comes with black olive coconutty oak and graphite. The palate is bullish scratchy in feel and tannic with feral herbal flavors of blackberry juniper and wild herbs. Herbal and wild are the best words to describe this Syrah.,Chile,Syrah
Scratchy berry aromas come with a hint of sweet-smelling plastic but overall this bargain-priced Cab is good and welcoming. The palate has a pure medium-bodied feel while flavors of baked berry cassis and chocolate finish with a mocha taste and mild heat.,Chile,Cabernet Sauvignon
On the nose this Cab delivers a mix of vinegar rubber and jumpy berry aromas. The palate is smooth but bland and soft while flavors of licorice prune and herbal notes finish easy.,Chile,Cabernet Sauvignon
The light-framed aromas of strawberry and raspberry are clean and citrusy. The palate on this wine made by the Chablis-based producer Laroche is crisp tangy and juicy with flavors of raspberry and cranberry that are fresh and tight. A clean honest Pinot to enjoy now.,Chile,Pinot Noir
Reedy berry aromas mixed with herbal notes set up a chunky voluminous palate. Spicy flavors of olive green herbs tobacco and oak run alongside berry and plum fruit. On the finish a resiny oak flavor and herbal notes meld then fade away. This is 55% Carmenère 30% Petit Verdot and 15% Syrah.,Chile,Red Blend
A familiar Chilean mix of berry plum spice and herbal aromas feed into a lifted but prickly palate that supports roasted earthy flavors of berry cassis and olive. A racy slightly rough finish is home to spicy chocolaty flavors on top of residual herbal berry.,Chile,Bordeaux-style Red Blend
We won't call this the best Terrunyo SB to date but it is typically clean mineral and full of lime and passion fruit. The overall balance and purity are up the ladder while the flavors of green fruits passion fruit brine and lime don't hold back. Top notch SB from Chile to drink now.,Chile,Sauvignon Blanc
It's been a while since we've reviewed this wine so this is a fine comeback. Plum blackberry and rubber aromas are solid but the real star is the palate which is smooth and thick with lush dark fruit flavors and a smoky background. Good slightly herbal and long on the finish.,Chile,Carmenère
A little sweet dense and pasty on the nose and that's also how the wine plays out. It's a ripe style of Carmenère with brooding but not overly expressive black-fruit flavors. Ripeness is clearly not an issue as it shows no vegetal or herbal notes. Simply big bold and not terribly unique.,Chile,Carmenère
Highly herbal aromas shadow black cherry plum oregano and beet scents. This feels plump and full while the flavor profile is pure Carmenère—herbal minty and peppery as well as black-fruit driven. Heat herbs and spice are draped on the finish of this love-it-or-leave-it Chilean specialty.,Chile,Carmenère
Nutty aromas of popcorn buttered toast peach and apple create a solid nose. This feels lively but also a bit oily. A mix of roasted nut wood resin and pineapple flavors finish toasty with racy acidity working as a preservative.,Chile,Chardonnay
Herbal spicy tomato and red-berry aromas come with oak-based coffee notes. This feels full saucy fresh and largely complete. The blend is Carignan Cabernet Sauvignon and Cabernet Franc with the wine's aromas translating to flavors of stalky berry and coffee. Spice notes and dry tannins push the finish. Drink through 2019.,Chile,Red Blend
Despite opening with saucy earthy gaseous aromas this mountain-vineyard Pinot delivers textural balance and modest acidity in support of peppery toasty spicy flavors of dried cherry tomato and earth. A mildly spicy round finish provides for a good ending.,Chile,Pinot Noir
This blend is green and herbal up front. Following the nose the palate is solid and chewy but raw. Flavors of berry olive and mixed spices are herbal minty and green while finishing notes of herbs chocolate and heat fit the bill. This is 85% Cabernet Sauvignon with Carmenère and Merlot.,Chile,Red Blend
Earthy woody aromas suggest oak coconut and coffee while an herbal olive note is also present. This is a bit sharp and shearing in terms of acidity but creamy vanilla flavors mellow the wine's racy plum and cherry character.,Chile,Cabernet Sauvignon
Jammy black-fruit aromas are woody reduced and come across cheesy. A thick tannic oaky body is home to flavors of plastic creamy oak vanilla and charred berries. This is pasty oaky and creamy on the finish.,Chile,Malbec
Cola and berry aromas are jumpy. This feels tight and rubbery but reasonably well focused. Standard plum and berry flavors are restrained while the finish is fruity with a clipped ending.,Chile,Malbec
Lightly herbal strawberry and raspberry aromas are authentic and fresh. On the palate this is light and juicy with snappy lean flavors of red fruit and dry spice. The finish is dry and oaky.,Chile,Pinot Noir
This is a prickly wine with a strong blast of nettle and green herb aromas. It has weight and texture on the palate while the flavors of citrus fruits and salad greens are pithy and mildly bitter. Green and white pepper notes dominate the finish.,Chile,Sauvignon Blanc
Leather cheese licorice herb and tomato notes define the nose on this snappy crisp Cabernet that's more racy and zesty than rich and deep. The finish is wiry but overall the wine is short on richness.,Chile,Cabernet Sauvignon
This starts out fresh on the nose with a modest herbal accent. The palate is lively and clean with ample body and good balance. Flavors of cherry plum and herb lead to a mildly green-tasting finish.,Chile,Merlot
Aromas of cherry and currant are a bit flat. On the palate this is perfectly good but common. Blackberry plum and a dusting of chocolate are the key flavors while this runs long and loamy on the finish.,Chile,Cabernet Sauvignon
A strong blast of oak and wood shavings are up front and on top of the nose on this chunky Cabernet. Baked herbal flavors of cassis and raspberry are toasty slightly green and minty. Flavors of herbs and carob rest heavily on a plump warm finish.,Chile,Cabernet Sauvignon
This opens with herbal berry aromas that are textbook Carmenère but with airing a floral note comes in to accent black-cherry aromas. Toasty herbal berry flavors are fruity and solid while this shows some bitterness on the finish.,Chile,Carmenère
Initially this Carmenère smells green and minty with a heavy herbal blast. Airing settles things down in front of a fresh palate with thorough body and build. Oak and salted-meat flavors with black fruits finish woody toasty and herbal.,Chile,Carmenère
Oak resin vanilla and creamy aromas run side by side with cherry cassis and berry scents on this blend of Cabernet Carmenère Petit Verdot and Syrah. The palate is tight juicy and textured with good density. Flavors of creamy oak mocha raspberry and plum set up a medium-length strong finish. Drink through 2017.,Chile,Red Blend
Earthy aromas include pencil eraser wild herbs and eucalyptus along with tea and blackberry. This is very smooth and lush in the mouth a reflection of a warm vintage. Flavors of olive herbs tobacco and black fruits are textbook for the variety while a mellow polished finish is silky and easygoing. Drink through 2016.,Chile,Carmenère
This wine from the Santa Carolina family opens with ripe blackberry prune and minerally aromas. It's rubbery and deep on the palate with dark toasty flavors of blackberry and bitter chocolate. A lightly herbal and spicy tasting finish with medium intensity fades away with lactic creaminess.,Chile,Cabernet Sauvignon
Fresh berry mint cola and herb aromas make for a classic Maipo bouquet. Feels fresh and good with plying tannins and bright acidity. Tastes earthy mossy and herbal with ample berry fruit. Licorice and prune flavors carry the finish. Syrah with Cabernet Carmenère and Petit Verdot.,Chile,Red Blend
Fresh and clean with light lemony aromas in addition to tropical fruit. The palate is textured and full with fairly pure apple and pineapple flavors and some nuttiness. Everything works here including the smooth lengthy finish.  Best Buy.,Chile,Chardonnay
Smooth smelling with pure and fresh berry and plum aromas. Very young and a bit tangy on the palate with cherry and berry flavors and an oaky soft finish that goes sweet then sour and lasts for a long time. In terms of structure it's balanced mildly tannic yet meant for drinking now.,Chile,Merlot
Creamy aromas of vanilla and pears also carry some typical Sauvignon Blanc pungency. For a rounder style which it is it's quite refreshing. The mix across the palate of banana grapefruit and almonds is attractive and so is the round pretty finish. Drink it very soon.,Chile,Sauvignon Blanc
This is a great house pour for fans of Chilean Merlot with its consistent fruit soft acidity and low tannins. On the nose and palate a core of sweet Red Delicious apple is accented by dry leather toasty vanilla and dried herbs. Simple but well crafted.,Chile,Merlot
This blend of Cabernet Sauvignon Syrah and Merlot starts off a bit murky and brooding but then displays raspberry and plum fruit and some big-time heft. A tad oaky and simple but with grilled meats it should more than do the trick. If you like 'em big and a touch funky get tattooed.,Chile,Red Blend
Heavy and gold in color with aromas of browned butter wheat and corn cakes. The bouquet and color are heavy and so is the palate: There you get oak barrel and toast but little to no fruit. Even the finish is woody with just a hint of melon and banana. A good experimental wine for those eager to taste oak; otherwise steer clear.,Chile,Chardonnay
The initial nosing reveals a char-broiled character along with maple. That nose turns even darker with airing indicating that no barrel was spared in the making of this wine. The flavor profile is all dark berries and cream with yet more wood at the heart. On the tail end it's dry broad and full of tannins and extract that coat the mouth. Best Buy.,Chile,Cabernet Sauvignon
Some earthy herbal cranberry scents are given life by a touch of smoky oak. The palate is sweet and wholesome and very well balanced. The finish gives a hint of syrup and oak but the fruit is ripe and succulent enough to handle that.,Chile,Cabernet Franc
Solid and sturdy and more big than small this Syrah runs toward the red-fruit spectrum. But the nose offers dried fruit herbs and clove while there's more clove and fennel underneath the fruit on the palate. There's oak throughout especially on the finish but it's not overdone. And if many Syrah-based wines need time to settle this one seems made for immediate drinking.,Chile,Syrah
This Merlot excels beyond its bargain classification by showing purity and a high level of fruit quality. The bouquet exudes plum chocolate and some creaminess while the palate bursts with blackberry bitter chocolate and espresso. Round and satisfying with enough structure to last a year or two—or until the next vintage comes around.,Chile,Merlot
Dusty earth seashell notes and tomato aromas don't fully announce how snappy tart and racy this coastal PN is. Almost sour red-plum and pie-cherry flavors finish angular sharp and zesty to an extreme.,Chile,Pinot Noir
Apple and citrus aromas are neither well defined nor overly aromatic. Fresh and juicy on the palate this offers citrus peel and green melon flavors. Mild and short on the finish.,Chile,Chardonnay
Aromas of herbal red fruits tobacco and vanilla are basic and modest. This has a wiry acidic mouthfeel and flavors of mixed herbs tomato pie cherry red plum and olive. A fresh racy finish is tangy and tomatoey.,Chile,Cabernet Sauvignon
This might be a touch volatile at first but saucy tomato-like aromas are offset by fresh red-plum notes. A tight and tannic palate softens with time in the glass while berry flavors carry herb and spice notes onto a lightly herbal finish.,Chile,Merlot
Chunky aromas of tomato saucy berry fruits asphalt and tire rubber are somewhat harsh. Flat and lazy in feel this chunky full-bodied number from Bío Bío tastes of baked cherry and plum fruit. A finish with low acidity and not much kick is the ending.,Chile,Pinot Noir
Bland fleshy aromas of corn and apple cider are unconvincing but not overtly negative. This feels plump and heavy like fruit punch. Flavors of cantaloupe and citrus fruits finish yeasty with notes of corn and white bread.,Chile,Chardonnay
There are a lot of uncommon unusual elements to this Pinot. For starters the nose is volatile with notes of horseradish and grapefruit. The palate has a solid juicy feel to it while mulchy cherry and plum flavors finish aimlessly.,Chile,Pinot Noir
Forced candied aromas of chocolaty oak and herbal slightly weedy berry fruits feed into a chunky blocky creamy palate with saucy berry flavors combined with minty top-heavy oak. The finish tastes minty lactic and oaky with heat.,Chile,Merlot
Berry and cherry aromas register as soupy and flat. Like the nose this feels flat chewy and dense. Stewed rubbery prunes and plums finish with a fig-like note and rubbery tannins.,Chile,Cabernet Sauvignon
Flat dusty aromas of lees and vanilla cookies are rather lifeless. While this is wet and somewhat juicy in feel it's bland as a whole with yeasty melon and citrus flavors that finish bready.,Chile,Sauvignon Blanc
Woody creamy aromas of black fruits precede a sketchy palate with acidity akin to vinegar. Medicinal flavors of oak mint and generic berry fruits finish with a pasty feel and herbal oaky flavors.,Chile,Carmenère
Prickly punchy pryazinic aromas will have you thinking this is Sauvignon Blanc or Spanish Verdejo. A sharp palate is more about acid than body while this continues with its SB-like character via green flavors of lime and arugula. A crisp finish evaporates into nothing.,Chile,Chardonnay
Heavy oak and marginal white-fruit scents make for a compromised nose. This feels chunky and resiny with heavy flavors of clove and raw wood. Additional clove notes on the finish render this Chardonnay an underachiever.,Chile,Chardonnay
Underripe aromas of bell pepper and scallion correctly announce a shearing high-acid palate. Salty tart flavors of citrus fruits finish with pyrazine-driven green notes.,Chile,Sauvignon Blanc
Rustic gaseous aromas of soupy berry fruits and tire rubber create a struggling nose. Rubbery tannins and a lack of a focal point make for a jumbled palate while this tastes stewy weedy and low on fresh fruit.,Chile,Cabernet Sauvignon
Earthy plum and berry aromas come with hints of rubber and animal. This is a saturated chewy dark Malbec with salty blackberry and savory oak flavors. A spicy blackened well-oaked finish is balanced and healthy.,Chile,Malbec
Roasted smoky berry aromas are good but nothing special. This feels alive and wiry with grabby tannins and prodding acidity. Roasted spicy plum and berry flavors finish dry spicy and in good shape.,Chile,Cabernet Sauvignon
Dusty apple aromas are less citrusy than ideal and the palate is cidery and tangy. Finishes with heft length and weight which all seems a little overbearing given the wine's simplicity. Just good enough but doesn't fully click.,Chile,Sauvignon Blanc
Berry pickle and bramble aromas are a little tough and crusted over while the palate is snappy and fresh in feel with flavors of herbal berry fruit and pepper. A mild hint of oak and resin dry up the finish.,Chile,Merlot
A bit mulchy and swampy for Manso with earthy tobacco and generic berry fruit aromas. The palate is flush and a little heavy with creamy flavors of vanilla dill weed and cassis. Soft and sweet late with chunkiness and a medium to basic structure. A very good wine but not great as in past years.,Chile,Cabernet Sauvignon
Smoky rubbery and sweet on the nose with mocha and caramel shadings. The palate however is more tight and narrow; the feel is fresh and blazing while the flavors are piercing and suggest red fruits like cranberry and cherry. Citric but with just enough weight to register as true Cabernet (with 18% Carmenère and 7% Cab Franc).,Chile,Red Blend
